amazon_order_id,merchant_order_id,purchase_d,ate,last_updated_date,order_status,fulfillment_channel,sales_channel,product_name,sku,asin,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,passport_sku,week,passport_week,purchase_ts,item_price_total
114-2190821-1483443,114-2190821-1483443,2025-10-31 00:00:00,T23:27:31+00:00,2025-11-01T19:08:56+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.2,0.99,0.16,1.8,0.99,MEDFORD,MA,02155-6129,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 23:27:31+00:00,14.99
114-7550131-1892209,114-7550131-1892209,2025-10-31 00:00:00,T22:47:46+00:00,2025-11-01T17:52:11+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,1.2,0.99,0.16,1.8,0.99,LEHIGH ACRES,FL,33976-3985,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-31 22:47:46+00:00,17.99
111-1831439-3310634,111-1831439-3310634,2025-10-31 00:00:00,T22:23:29+00:00,2025-11-01T06:46:19+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,1.3,1.49,0.16,1.8,1.49,WOODLAND,CA,95695-2507,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-31 22:23:29+00:00,17.99
114-5780566-9677840,114-5780566-9677840,2025-10-31 00:00:00,T21:41:41+00:00,2025-11-01T05:33:03+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,1.2,0.99,0.16,1.8,0.99,PFLUGERVILLE,TX,78660-5835,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-31 21:41:41+00:00,17.99
114-1672877-3536240,114-1672877-3536240,2025-10-31 00:00:00,T20:46:34+00:00,2025-11-01T03:21:05+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.87,0.99,0.16,4.5,0.99,FORT WORTH,TX,76244-7994,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 20:46:34+00:00,14.99
114-0741760-5944205,114-0741760-5944205,2025-10-31 00:00:00,T20:33:58+00:00,2025-11-01T04:28:17+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.13,0.99,0.16,1.5,0.99,LAS VEGAS,NV,89183-5835,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 20:33:58+00:00,14.99
111-5586942-4099431,111-5586942-4099431,2025-10-31 00:00:00,T20:33:07+00:00,2025-11-01T12:42:03+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.2,0.99,0.16,1.5,0.99,LONG ISLAND CITY,NY,11109-5962,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 20:33:07+00:00,14.99
112-9504527-3817832,112-9504527-3817832,2025-10-31 00:00:00,T20:00:09+00:00,2025-11-01T19:38:01+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 30 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP101,B0DNRQPDCD,1,USD,17.99,1.93,3.99,0.16,1.8,3.99,ALBANY,CA,94706-1727,US,USP101,2025-10-27/2025-11-02,USP101_October/2025,2025-10-31 20:00:09+00:00,17.99
112-6290773-3089064,112-6290773-3089064,2025-10-31 00:00:00,T19:34:04+00:00,2025-11-01T04:59:47+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.2,1.0,0.16,1.5,1.0,ELKTON,MD,21921-1814,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 19:34:04+00:00,14.99
112-5919861-2095453,112-5919861-2095453,2025-10-31 00:00:00,T19:14:33+00:00,2025-11-01T06:31:05+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.94,0.99,0.16,1.5,0.99,WELLINGTON,FL,33414-3503,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 19:14:33+00:00,14.99
114-3199910-0843417,114-3199910-0843417,2025-10-31 00:00:00,T19:14:06+00:00,2025-10-31T23:46:24+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.31,0.99,0.16,1.8,0.99,ATWATER,CA,95301-4867,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 19:14:06+00:00,14.99
114-2766119-8725823,114-2766119-8725823,2025-10-31 00:00:00,T17:36:40+00:00,2025-11-01T12:58:31+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.94,3.29,0.16,1.5,0.99,Doral,Florida,33191-1057,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 17:36:40+00:00,14.99
114-4209802-6670606,114-4209802-6670606,2025-10-31 00:00:00,T17:35:18+00:00,2025-11-01T03:46:14+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.94,0.99,0.16,1.5,0.99,AVENTURA,FL,33160-2519,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 17:35:18+00:00,14.99
